"SiteID","Iron (ug/l)","Iron flag","Arsenic (ug/l)","Arsenic flag","Silver (ug/l)","Silver flag","Aluminum (ug/l)","Aluminum flag","Cadmium (ug/l)","Cadmium flag","Copper (ug/l)","Copper flag","Lead (ug/l)","Lead flag","Nickel (ug/l)","Nickel flag","Zinc (ug/l)","Zinc flag"
"07-AIND-1.6",178,"A",0.75,"J",NA,"U",112,"A",NA,"U",2.1,"A",0.18,"J",1.6,"A",NA,"U"
"07-BSWP-1.3",180,"A",0.41,"J",NA,"U",53.4,"A",NA,"U",0.72,"J",0.16,"J",0.64,"J",NA,"U"
"07-CAYG-1.1",525,"A",0.73,"J",NA,"U",291,"A",NA,"U",1.7,"A",0.48,"J",1.3,"A",2.6,"J"
"07-GROU-1.5",41.6,"J",0.67,"J",NA,"U",23.2,"A",NA,"U",NA,"U",0.071,"J",0.67,"J",NA,"U"
"07-JACB-1.9",405,"A",0.75,"J",NA,"U",178,"A",NA,"U",1,"A",0.42,"J",1.5,"A",NA,"R"
"07-KDIG-10.4",1620,"A",2.4,"A",NA,"U",906,"A",NA,"U",1.6,"A",1.3,"A",3.3,"A",8.2,"A"
"07-KEUK-0.3",125,"A",1,"A",NA,"U",70.5,"A",NA,"U",3,"A",0.61,"J",1.2,"A",3.2,"R"
"07-KEUK-1.5",130,"A",0.89,"J",NA,"U",68.5,"A",NA,"U",2.8,"A",0.66,"J",0.9,"J",2.6,"R"
"07-KEUK-3.4",148,"A",0.78,"J",NA,"U",77.4,"A",NA,"U",2.8,"A",0.95,"J",1,"A",3.6,"R"
"07-KEUK-6.7",148,"A",0.97,"J",NA,"U",35.2,"A",NA,"U",0.96,"J",0.44,"J",0.82,"J",NA,"R"
"07-KEUK-7.3",134,"A",0.94,"J",NA,"U",7.2,"J",NA,"U",0.81,"J",0.18,"J",0.65,"J",7.3,"R"
"07-KEUK_T3-1.0",1320,"A",2.1,"A",NA,"U",886,"A",NA,"U",3.3,"A",0.95,"J",4.2,"A",8.5,"R"
"07-KEUK_T6-1.0",2220,"A",1.6,"A",NA,"U",1060,"A",NA,"U",3.3,"A",1.7,"A",3.9,"A",12,"R"
"07-KNDA-1.4",NA,"U",0.74,"J",NA,"U",12.9,"A",NA,"U",2.2,"A",NA,"U",2,"A",NA,"U"
"07-ONID-4.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"07-REED-2.3",1170,"A",1.7,"A",NA,"U",564,"A",NA,"U",23.6,"A",2.4,"A",4.7,"A",29.7,"A"
"07-SKAT_T2-0.1",153,"A",NA,"U",NA,"U",75,"A",NA,"U",1.7,"A",0.16,"J",1.5,"A",NA,"U"
"07-SKAT_T89-0.2",616,"A",0.67,"J",NA,"U",346,"A",NA,"U",1.4,"A",0.59,"J",1.7,"A",3.4,"J"
