"SiteID","Magnesium (ug/l)","Magnesium flag","Chloride (mg/l)","Chloride flag","Calcium (ug/l)","Calcium flag","Hardness (mg/l)","Hardness flag","Alkalinity (mg/l)","Alkalinity flag","Turbidity (ntu)","Turbidity flag"
"07-AIND-1.6",16100,"A",61.6,"A",78700,"A",263,"A",195,"A",1.46,"R"
"07-BSWP-1.3",3800,"A",7.1,"A",26200,"A",81.1,"A",69.2,"A",0.71,"R"
"07-CAYG-1.1",12800,"A",43.7,"A",62300,"A",208,"A",174,"A",2.63,"J"
"07-GROU-1.5",14400,"A",16.6,"A",58800,"A",206,"A",166,"A",0.42,"R"
"07-JACB-1.9",28300,"A",53.9,"A",99700,"A",366,"A",269,"A",2.18,"T"
"07-KDIG-10.4",19700,"A",18.5,"A",93000,"A",313,"A",248,"A",10.3,"A"
"07-KEUK-0.3",12500,"A",57.3,"A",42300,"A",157,"A",164,"A",1.43,"R"
"07-KEUK-1.5",12200,"A",46.8,"A",40000,"A",150,"A",116,"A",1.58,"T"
"07-KEUK-3.4",11700,"A",46.7,"A",37000,"A",141,"A",111,"A",1.33,"R"
"07-KEUK-6.7",11300,"A",38.8,"A",34000,"A",131,"A",99.6,"A",1.46,"R"
"07-KEUK-7.3",10400,"A",36,"A",31400,"A",121,"A",94.4,"A",1.19,"R"
"07-KEUK_T3-1.0",27700,"A",64.7,"A",114000,"A",400,"A",284,"A",2.65,"J"
"07-KEUK_T6-1.0",25600,"A",52.8,"A",104000,"A",364,"A",271,"A",5.53,"A"
"07-KNDA-1.4",15100,"A",87.3,"A",82900,"A",269,"A",194,"A",0.88,"R"
"07-ONID-4.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"07-REED-2.3",17800,"A",182,"A",106000,"A",337,"A",230,"A",6.46,"A"
"07-SKAT_T2-0.1",18300,"A",63.4,"A",81500,"A",279,"A",218,"A",0.52,"R"
"07-SKAT_T89-0.2",19500,"A",22.2,"A",82800,"A",287,"A",221,"A",1.57,"T"
