"SiteID","Nitrate+Nitrite (mg/l)","Nitrate+Nitrite flag","Total Nitrogen (mg/l)","Total Nitrogen flag","Ammonia (mg/l)","Ammonia flag","Total Kjeldal Nitrogen (mg/l)","Total Kjeldal Nitrogen flag","Nitrate (mg/l)","Nitrate flag","Nitrite (mg/l)","Nitrite flag","Total Phosphorus (mg/l)","Total Phosphorus flag"
"07-AIND-1.6",0.418,"R",0.89,"A",0.0077,"A",0.48,"A",0.418,"A",NA,"U",0.0329,"A"
"07-BSWP-1.3",0.155,"R",0.79,"A",NA,"U",0.63,"A",0.155,"A",NA,"U",0.0245,"A"
"07-CAYG-1.1",0.197,"R",0.46,"A",NA,"U",0.27,"A",0.197,"A",NA,"U",0.0218,"A"
"07-GROU-1.5",1.51,"R",1.76,"A",NA,"U",0.25,"A",1.51,"A",NA,"U",0.0079,"A"
"07-JACB-1.9",1.63,"A",2.1,"A",0.016,"A",0.47,"A",1.62,"A",0.015,"A",0.0428,"A"
"07-KDIG-10.4",0.181,"R",1.23,"A",0.08,"A",1.05,"A",0.076,"A",0.105,"A",0.176,"A"
"07-KEUK-0.3",0.929,"A",1.38,"A",0.0181,"A",0.45,"A",0.896,"A",0.033,"A",0.0233,"A"
"07-KEUK-1.5",0.875,"A",1.38,"A",0.0139,"A",0.51,"A",0.843,"A",0.032,"A",0.0216,"A"
"07-KEUK-3.4",1.21,"A",1.66,"A",0.0422,"A",0.44,"A",1.13,"A",0.084,"A",0.0276,"A"
"07-KEUK-6.7",0.0253,"J",0.7,"A",0.0169,"A",0.68,"A",0.025,"A",NA,"U",0.0264,"A"
"07-KEUK-7.3",0.0055,"R",1.01,"A",NA,"U",1,"A",NA,"U",NA,"U",0.0278,"A"
"07-KEUK_T3-1.0",0.0915,"A",1.92,"A",0.0288,"A",1.83,"A",0.092,"R",NA,"U",0.217,"A"
"07-KEUK_T6-1.0",0.932,"A",2.23,"A",0.0186,"A",1.3,"A",0.932,"A",NA,"U",0.398,"A"
"07-KNDA-1.4",0.0158,"R",0.49,"A",0.006,"A",0.48,"A",0.016,"R",NA,"U",0.0143,"A"
"07-ONID-4.0",0.0033,"R",0.51,"A",0.0096,"A",0.51,"A",NA,NA,NA,NA,0.0318,"A"
"07-REED-2.3",3.92,"R",5.32,"A",0.0751,"A",1.4,"A",3.89,"A",0.033,"A",1.67,"A"
"07-SKAT_T2-0.1",0.85,"R",1.46,"A",0.0059,"A",0.61,"A",0.85,"A",NA,"U",0.0294,"A"
"07-SKAT_T89-0.2",3.29,"R",3.77,"A",NA,"U",0.48,"A",3.29,"A",NA,"U",0.0302,"A"
